dataset,model_a,model_b,cka_score,mean_cosine_sim,procrustes_distance,dim_a,dim_b
credit-g,tabpfn,tabicl,0.7282050997291278,-0.3161240220069885,0.6588199138641357,192,512
credit-g,tabpfn,tabicl_final_probs,0.849265680002161,0.20231662690639496,0.5383601784706116,192,2
credit-g,tabpfn,tabicl_icl_last_block,0.7282050997291278,-0.3161240220069885,0.6588199138641357,192,512
credit-g,tabpfn,tabicl_row_output,0.17207941343858976,0.08335337042808533,1.0361977815628052,192,128
credit-g,tabpfn_final_probs,tabpfn_last_transformer_layer,0.8946254788943883,0.22113865613937378,0.4939395487308502,2,192
credit-g,tabpfn_final_probs,tabicl,0.6058018927637906,-0.22160685062408447,0.7999303340911865,2,512
credit-g,tabpfn_final_probs,tabicl_final_probs,0.9124467190212998,0.9934204816818237,0.29926106333732605,2,2
credit-g,tabpfn_final_probs,tabicl_icl_last_block,0.6058018927637906,-0.22160685062408447,0.7999303340911865,2,512
credit-g,tabpfn_final_probs,tabicl_row_output,0.09955761888102264,0.10579126328229904,1.3128151893615723,2,128
credit-g,tabpfn_last_transformer_layer,tabicl,0.7282050997291278,-0.3161240220069885,0.6588199138641357,192,512
credit-g,tabpfn_last_transformer_layer,tabicl_final_probs,0.849265680002161,0.20231662690639496,0.5383601784706116,192,2
credit-g,tabpfn_last_transformer_layer,tabicl_icl_last_block,0.7282050997291278,-0.3161240220069885,0.6588199138641357,192,512
credit-g,tabpfn_last_transformer_layer,tabicl_row_output,0.17207941343858976,0.08335337042808533,1.0361977815628052,192,128
credit-g,tabicl,tabicl_final_probs,0.6756859727478901,-0.21220438182353973,0.749597430229187,512,2
credit-g,tabicl,tabicl_icl_last_block,0.9999999999952095,1.0,3.764637934071738e-15,512,512
credit-g,tabicl,tabicl_row_output,0.37018605811280814,-0.1263357698917389,0.8011072278022766,512,128
credit-g,tabicl_final_probs,tabicl_icl_last_block,0.6756859727478899,-0.21220438182353973,0.749597430229187,2,512
credit-g,tabicl_final_probs,tabicl_row_output,0.11039762873370756,0.09619550406932831,1.3154873847961426,2,128
credit-g,tabicl_icl_last_block,tabicl_row_output,0.37018605811280814,-0.1263357698917389,0.8011072278022766,512,128
