dataset,model_a,model_b,dim_a,dim_b,cka_score,mean_cosine_sim,procrustes_distance
tabarena_in_vehicle_coupon_recommendation,carte,tabdpt,300,768,0.40856721506337584,0.2840639054775238,1.076188087463379
tabarena_jm1,carte,tabdpt,300,768,0.8170352719096853,0.19555222988128662,0.8064320683479309
tabarena_kddcup09_appetency,carte,tabdpt,300,768,0.06318827332143462,-0.010070963762700558,1.2543580532073975
tabarena_maternal_health_risk,carte,tabdpt,300,768,0.12303832346365319,0.16907206177711487,1.1451040506362915
tabarena_miami_housing,carte,tabdpt,300,768,0.13271252246026274,-0.01975908689200878,1.0662202835083008
tabarena_online_shoppers_intention,carte,tabdpt,300,768,0.8681504991212179,0.4934760630130768,0.7041953802108765
tabarena_physiochemical_protein,carte,tabdpt,300,768,0.17525023541468115,-0.16229794919490814,1.084357738494873
tabarena_polish_companies_bankruptcy,carte,tabdpt,300,768,0.5680894726598149,0.22309860587120056,0.9499679803848267
tabarena_qsar-biodeg,carte,tabdpt,300,768,0.5924043958920194,0.46322253346443176,0.7976862788200378
tabarena_seismic-bumps,carte,tabdpt,300,768,0.7098789818015325,0.4161595106124878,0.9280482530593872
tabarena_splice,carte,tabdpt,300,768,0.2301019756599327,0.2851349413394928,1.101287603378296
tabarena_students_dropout_and_academic_success,carte,tabdpt,300,768,0.2422482751524232,0.17888540029525757,1.0788679122924805
tabarena_superconductivity,carte,tabdpt,300,768,0.4165888357930128,-0.4234054982662201,0.9543459415435791
tabarena_taiwanese_bankruptcy_prediction,carte,tabdpt,300,768,0.5042976222448551,0.23031900823116302,1.0650439262390137
tabarena_website_phishing,carte,tabdpt,300,768,0.5638940431357715,0.4443364441394806,0.8730612993240356
tabarena_wine_quality,carte,tabdpt,300,768,0.6508069422695273,0.42514580488204956,0.9346577525138855
tabarena_APSFailure,carte,tabicl,300,512,0.19977283067896612,-0.07557719200849533,1.0203255414962769
tabarena_Amazon_employee_access,carte,tabicl,300,512,0.04569576090022301,-0.005364004522562027,1.2915085554122925
